location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,35.676624,51.42857,1183.0,0,GMT,GMT
1,34.622143,50.909092,933.0,0,GMT,GMT
2,37.293495,49.53581,4.0,0,GMT,GMT

location_id,time,sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),daylight_duration (s)
0,2022-09-23,2022-09-23T02:22,2022-09-23T14:30,0.00,0.00,0.00,33.4,21.6,27.9,43635.36
0,2022-09-24,2022-09-24T02:23,2022-09-24T14:29,0.00,0.00,0.00,34.8,20.0,28.3,43501.20
0,2022-09-25,2022-09-25T02:24,2022-09-25T14:27,0.00,0.00,0.00,35.0,20.1,27.7,43366.65
0,2022-09-26,2022-09-26T02:25,2022-09-26T14:26,0.00,0.00,0.00,31.7,16.8,25.2,43231.82
0,2022-09-27,2022-09-27T02:26,2022-09-27T14:24,0.00,0.00,0.00,31.8,19.9,26.1,43096.78
0,2022-09-28,2022-09-28T02:26,2022-09-28T14:23,0.00,0.00,0.00,33.0,19.5,26.6,42961.62
0,2022-09-29,2022-09-29T02:27,2022-09-29T14:21,0.00,0.00,0.00,34.0,19.9,27.4,42826.42
0,2022-09-30,2022-09-30T02:28,2022-09-30T14:20,0.00,0.00,0.00,34.1,20.4,28.0,42691.27
0,2022-10-01,2022-10-01T02:29,2022-10-01T14:18,0.00,0.00,0.00,30.0,19.4,25.2,42556.26
0,2022-10-02,2022-10-02T02:29,2022-10-02T14:17,0.00,0.00,0.00,27.2,18.5,22.9,42421.47
0,2022-10-03,2022-10-03T02:30,2022-10-03T14:15,0.00,0.00,0.00,29.3,16.7,23.5,42287.00
0,2022-10-04,2022-10-04T02:31,2022-10-04T14:14,0.00,0.00,0.00,31.2,18.1,24.8,42152.91
0,2022-10-05,2022-10-05T02:32,2022-10-05T14:13,0.00,0.00,0.00,31.5,17.2,24.7,42019.32
0,2022-10-06,2022-10-06T02:33,2022-10-06T14:11,0.00,0.00,0.00,29.9,17.2,24.1,41886.29
0,2022-10-07,2022-10-07T02:34,2022-10-07T14:10,0.00,0.00,0.00,28.1,19.3,23.5,41753.93
0,2022-10-08,2022-10-08T02:34,2022-10-08T14:08,0.00,0.00,0.00,26.2,14.2,21.0,41622.33
0,2022-10-09,2022-10-09T02:35,2022-10-09T14:07,0.00,0.00,0.00,26.6,14.2,21.1,41491.57
0,2022-10-10,2022-10-10T02:36,2022-10-10T14:06,0.00,0.00,0.00,28.1,14.9,22.1,41361.57
0,2022-10-11,2022-10-11T02:37,2022-10-11T14:04,0.00,0.00,0.00,28.7,15.4,22.6,41231.36
0,2022-10-12,2022-10-12T02:38,2022-10-12T14:03,0.00,0.00,0.00,26.6,15.7,21.6,41100.83
0,2022-10-13,2022-10-13T02:39,2022-10-13T14:02,0.00,0.00,0.00,26.1,14.3,20.7,40970.11
0,2022-10-14,2022-10-14T02:39,2022-10-14T14:00,0.00,0.00,0.00,27.4,14.7,21.8,40839.27
0,2022-10-15,2022-10-15T02:40,2022-10-15T13:59,0.00,0.00,0.00,29.3,16.1,22.7,40708.43
0,2022-10-16,2022-10-16T02:41,2022-10-16T13:58,0.00,0.00,0.00,30.2,16.3,23.5,40577.68
0,2022-10-17,2022-10-17T02:42,2022-10-17T13:56,0.00,0.00,0.00,29.9,17.0,23.6,40447.13
0,2022-10-18,2022-10-18T02:43,2022-10-18T13:55,0.00,0.00,0.00,27.8,13.8,21.4,40316.88
0,2022-10-19,2022-10-19T02:44,2022-10-19T13:54,0.00,0.00,0.00,23.4,12.5,18.7,40187.03
0,2022-10-20,2022-10-20T02:45,2022-10-20T13:53,0.00,0.00,0.00,24.8,11.8,19.7,40057.70
0,2022-10-21,2022-10-21T02:46,2022-10-21T13:51,0.00,0.00,0.00,26.2,15.1,21.0,39928.97
0,2022-10-22,2022-10-22T02:46,2022-10-22T13:50,0.00,0.00,0.00,26.2,14.9,20.6,39800.98
0,2022-10-23,2022-10-23T02:47,2022-10-23T13:49,0.00,0.00,0.00,23.8,13.7,19.1,39673.82
0,2022-10-24,2022-10-24T02:48,2022-10-24T13:48,0.40,0.40,0.00,26.1,13.5,19.4,39547.61
0,2022-10-25,2022-10-25T02:49,2022-10-25T13:47,0.00,0.00,0.00,24.6,12.9,18.6,39422.48
0,2022-10-26,2022-10-26T02:50,2022-10-26T13:45,0.00,0.00,0.00,21.8,11.4,16.8,39298.52
0,2022-10-27,2022-10-27T02:51,2022-10-27T13:44,0.00,0.00,0.00,23.8,11.3,18.2,39175.86
0,2022-10-28,2022-10-28T02:52,2022-10-28T13:43,0.00,0.00,0.00,25.1,14.7,19.9,39054.62
0,2022-10-29,2022-10-29T02:53,2022-10-29T13:42,0.00,0.00,0.00,23.7,12.3,18.1,38934.94
0,2022-10-30,2022-10-30T02:54,2022-10-30T13:41,0.00,0.00,0.00,21.3,10.2,16.2,38816.73
0,2022-10-31,2022-10-31T02:55,2022-10-31T13:40,0.20,0.20,0.00,22.8,11.0,16.9,38698.92
0,2022-11-01,2022-11-01T02:56,2022-11-01T13:39,2.30,2.30,0.00,21.1,9.5,15.7,38581.44
0,2022-11-02,2022-11-02T02:57,2022-11-02T13:38,0.00,0.00,0.00,19.9,7.4,13.6,38464.40
0,2022-11-03,2022-11-03T02:58,2022-11-03T13:37,0.10,0.10,0.00,18.6,8.1,12.7,38347.91
0,2022-11-04,2022-11-04T02:59,2022-11-04T13:36,0.00,0.00,0.00,19.1,5.9,13.2,38232.11
0,2022-11-05,2022-11-05T03:00,2022-11-05T13:35,0.10,0.10,0.00,19.2,7.5,13.0,38117.11
0,2022-11-06,2022-11-06T03:01,2022-11-06T13:34,0.00,0.00,0.00,18.8,7.4,12.9,38003.04
0,2022-11-07,2022-11-07T03:02,2022-11-07T13:33,0.00,0.00,0.00,16.7,5.5,11.7,37890.00
0,2022-11-08,2022-11-08T03:03,2022-11-08T13:33,0.00,0.00,0.00,13.6,6.1,10.2,37778.15
0,2022-11-09,2022-11-09T03:04,2022-11-09T13:32,0.00,0.00,0.00,14.8,6.3,10.4,37667.61
0,2022-11-10,2022-11-10T03:05,2022-11-10T13:31,0.20,0.20,0.00,14.8,5.5,10.8,37558.50
0,2022-11-11,2022-11-11T03:06,2022-11-11T13:30,0.10,0.10,0.00,16.1,7.5,11.7,37450.97
0,2022-11-12,2022-11-12T03:07,2022-11-12T13:29,0.70,0.70,0.00,15.7,7.0,11.2,37345.16
0,2022-11-13,2022-11-13T03:08,2022-11-13T13:29,0.00,0.00,0.00,15.5,3.1,10.5,37241.20
0,2022-11-14,2022-11-14T03:09,2022-11-14T13:28,0.00,0.00,0.00,17.6,3.7,10.5,37139.23
0,2022-11-15,2022-11-15T03:10,2022-11-15T13:27,0.00,0.00,0.00,17.2,5.4,10.8,37039.40
0,2022-11-16,2022-11-16T03:11,2022-11-16T13:26,3.10,3.10,0.00,16.8,4.2,11.9,36941.86
0,2022-11-17,2022-11-17T03:12,2022-11-17T13:26,1.80,1.80,0.00,16.0,9.0,12.2,36846.75
0,2022-11-18,2022-11-18T03:13,2022-11-18T13:25,0.00,0.00,0.00,16.5,7.1,11.3,36754.23
0,2022-11-19,2022-11-19T03:13,2022-11-19T13:25,0.00,0.00,0.00,17.3,6.4,11.9,36664.27
0,2022-11-20,2022-11-20T03:14,2022-11-20T13:24,0.00,0.00,0.00,17.3,4.4,10.8,36575.88
0,2022-11-21,2022-11-21T03:15,2022-11-21T13:24,0.00,0.00,0.00,17.2,4.7,10.8,36488.99
0,2022-11-22,2022-11-22T03:16,2022-11-22T13:23,0.00,0.00,0.00,17.3,4.7,11.4,36403.71
0,2022-11-23,2022-11-23T03:17,2022-11-23T13:23,0.00,0.00,0.00,15.4,6.5,11.2,36320.15
0,2022-11-24,2022-11-24T03:18,2022-11-24T13:22,0.00,0.00,0.00,16.7,4.6,10.6,36238.43
0,2022-11-25,2022-11-25T03:19,2022-11-25T13:22,0.00,0.00,0.00,18.0,5.9,12.4,36158.64
0,2022-11-26,2022-11-26T03:20,2022-11-26T13:22,2.10,2.10,0.00,18.2,8.8,13.4,36080.92
